# .PCD v.7 - Point Cloud Data file format
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 1553
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 1553
DATA ascii
-0.008453334 0.1388762 1.268
-0.1163067 0.1495371 1.342
-0.1132419 0.1488686 1.336
-0.1106972 0.1488686 1.336
-0.1077476 0.1483114 1.331
-0.1052124 0.1483114 1.331
-0.1022914 0.1477543 1.326
-0.09901334 0.14664 1.316
-0.09614 0.1460829 1.311
-0.09364286 0.1460829 1.311
-0.0907981 0.1455257 1.306
-0.08831048 0.1455257 1.306
-0.08582287 0.1455257 1.306
-0.08333524 0.1455257 1.306
-0.0805381 0.1449686 1.301
-0.07806 0.1449686 1.301
-0.07529142 0.1444114 1.296
-0.07282285 0.1444114 1.296
-0.07008285 0.1438543 1.291
-0.06762381 0.1438543 1.291
-0.06496286 0.1434086 1.287
-0.06251143 0.1434086 1.287
-0.05982667 0.1428514 1.282
-0.05738476 0.1428514 1.282
-0.05451429 0.1417371 1.272
-0.05209143 0.1417371 1.272
-0.04966858 0.1417371 1.272
-0.04709714 0.1412914 1.268
-0.0446819 0.1412914 1.268
-0.04226667 0.1412914 1.268
-0.03985143 0.1412914 1.268
-0.03743619 0.1412914 1.268
-0.03488285 0.1407343 1.263
-0.03247714 0.1407343 1.263
-0.03007143 0.1407343 1.263
-0.02766571 0.1407343 1.263
-0.02526 0.1407343 1.263
-0.02285429 0.1407343 1.263
-0.02044857 0.1407343 1.263
-0.01804286 0.1407343 1.263
-0.01569905 0.1412914 1.268
-0.01328381 0.1412914 1.268
-0.01086857 0.1412914 1.268
-0.008453334 0.1412914 1.268
-0.1157867 0.1514133 1.336
-0.1132419 0.1514133 1.336
-0.1102829 0.1508467 1.331
-0.1077476 0.1508467 1.331
-0.1052124 0.1508467 1.331
-0.1022914 0.15028 1.326
-0.09901334 0.1491467 1.316
-0.09614 0.14858 1.311
-0.09364286 0.14858 1.311
-0.0907981 0.1480134 1.306
-0.08831048 0.1480134 1.306
-0.08582287 0.1480134 1.306
-0.08333524 0.1480134 1.306
