# .PCD v.7 - Point Cloud Data file format
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 1723
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 1723
DATA ascii
-0.009013334 -0.1609524 1.352
-0.006414286 -0.1603572 1.347
-0.003848572 -0.1603572 1.347
-0.001282857 -0.1603572 1.347
0.001282857 -0.1603572 1.347
0.003848572 -0.1603572 1.347
0.006438096 -0.1609524 1.352
0.009013334 -0.1609524 1.352
0.01158857 -0.1609524 1.352
0.01416381 -0.1609524 1.352
0.01673905 -0.1609524 1.352
0.01931429 -0.1609524 1.352
0.02188952 -0.1609524 1.352
0.02446476 -0.1609524 1.352
0.02704 -0.1609524 1.352
0.02961524 -0.1609524 1.352
0.03245238 -0.1622619 1.363
0.03504857 -0.1622619 1.363
0.03764476 -0.1622619 1.363
0.04024095 -0.1622619 1.363
0.04283714 -0.1622619 1.363
0.0456 -0.1628571 1.368
0.04820571 -0.1628571 1.368
0.05103429 -0.1635714 1.374
0.05365143 -0.1635714 1.374
0.05647334 -0.1641667 1.379
0.0591 -0.1641667 1.379
-0.01158857 -0.1583772 1.352
-0.009013334 -0.1583772 1.352
-0.006414286 -0.1577914 1.347
-0.003848572 -0.1577914 1.347
-0.001282857 -0.1577914 1.347
0.001282857 -0.1577914 1.347
0.003848572 -0.1577914 1.347
0.006414286 -0.1577914 1.347
0.009013334 -0.1583772 1.352
0.01158857 -0.1583772 1.352
0.01416381 -0.1583772 1.352
0.01673905 -0.1583772 1.352
0.01931429 -0.1583772 1.352
0.02188952 -0.1583772 1.352
0.02446476 -0.1583772 1.352
0.02704 -0.1583772 1.352
0.02974667 -0.15908 1.358
0.03245238 -0.1596657 1.363
0.03504857 -0.1596657 1.363
0.03764476 -0.1596657 1.363
0.04024095 -0.1596657 1.363
0.04283714 -0.1596657 1.363
0.0456 -0.1602514 1.368
0.04820571 -0.1602514 1.368
0.05103429 -0.1609543 1.374
0.05365143 -0.1609543 1.374
0.05626858 -0.1609543 1.374
0.0591 -0.16154 1.379
0.06172667 -0.16154 1.379
-0.006414286 -0.1552257 1.347
-0.003788572 -0.1528057 1.326
-0.001267619 -0.1533819 1.331
0.001267619 -0.1533819 1.331
0.003848572 -0.1552257 1.347
0.006414286 -0.1552257 1.347
0.00898 -0.1552257 1.347
0.01158857 -0.1558019 1.352
0.01416381 -0.1558019 1.352
0.01673905 -0.1558019 1.352
0.01931429 -0.1558019 1.352
0.02188952 -0.1558019 1.352
0.02446476 -0.1558019 1.352
0.02704 -0.1558019 1.352
0.02961524 -0.1558019 1.352
0.03233333 -0.1564933 1.358
0.03492 -0.1564933 1.358
0.03750667 -0.1564933 1.358
0.04024095 -0.1570695 1.363
0.04283714 -0.1570695 1.363
0.04543334 -0.1570695 1.363
0.04820571 -0.1576457 1.368
0.05081143 -0.1576457 1.368
0.05341714 -0.1576457 1.368
0.05602286 -0.1576457 1.368
0.05888572 -0.1583372 1.374
0.06172667 -0.1589133 1.379
0.06435334 -0.1589133 1.379
-0.009120001 -0.15504 1.368
-0.006514286 -0.15504 1.368
-0.003908571 -0.15504 1.368
-0.001282857 -0.15266 1.347
0.001282857 -0.15266 1.347
0.003848572 -0.15266 1.347
0.006414286 -0.15266 1.347
0.00898 -0.15266 1.347
0.01154571 -0.15266 1.347
0.01411143 -0.15266 1.347
0.01673905 -0.1532267 1.352
0.01931429 -0.1532267 1.352
0.02188952 -0.1532267 1.352
0.02446476 -0.1532267 1.352
0.02716 -0.1539067 1.358
0.02974667 -0.1539067 1.358
0.03233333 -0.1539067 1.358
0.03492 -0.1539067 1.358
0.03764476 -0.1544733 1.363
0.04024095 -0.1544733 1.363
0.04283714 -0.1544733 1.363
0.04543334 -0.1544733 1.363
0.04820571 -0.15504 1.368
0.05081143 -0.15504 1.368
0.05341714 -0.15504 1.368
0.05602286 -0.15504 1.368
0.05862857 -0.15504 1.368
0.06150286 -0.15572 1.374
0.06412 -0.15572 1.374
-0.009120001 -0.1524343 1.368
-0.006514286 -0.1524343 1.368
-0.003908571 -0.1524343 1.368
-0.001282857 -0.1500943 1.347
0.001282857 -0.1500943 1.347
0.003848572 -0.1500943 1.347
0.006414286 -0.1500943 1.347
0.00898 -0.1500943 1.347
0.01154571 -0.1500943 1.347
0.01411143 -0.1500943 1.347
0.01673905 -0.1506514 1.352
0.01931429 -0.1506514 1.352
0.02188952 -0.1506514 1.352
0.02446476 -0.1506514 1.352
0.02716 -0.15132 1.358
0.02974667 -0.15132 1.358
0.03233333 -0.15132 1.358
0.03492 -0.15132 1.358
0.03764476 -0.1518771 1.363
0.04024095 -0.1518771 1.363
0.04299429 -0.1524343 1.368
0.0456 -0.1524343 1.368
0.04820571 -0.1524343 1.368
0.05081143 -0.1524343 1.368
0.05341714 -0.1524343 1.368
0.05602286 -0.1524343 1.368
0.05862857 -0.1524343 1.368
0.06150286 -0.1531029 1.374
0.06435334 -0.15366 1.379
0.06698 -0.15366 1.379
-0.01172571 -0.1498286 1.368
-0.009120001 -0.1498286 1.368
-0.006514286 -0.1498286 1.368
-0.003908571 -0.1498286 1.368
-0.001302857 -0.1498286 1.368
0.001282857 -0.1475286 1.347
0.003848572 -0.1475286 1.347
0.006414286 -0.1475286 1.347
0.00898 -0.1475286 1.347
0.01154571 -0.1475286 1.347
0.01416381 -0.1480762 1.352
0.01673905 -0.1480762 1.352
0.01931429 -0.1480762 1.352
0.02188952 -0.1480762 1.352
0.02457333 -0.1487333 1.358
0.02716 -0.1487333 1.358
0.02974667 -0.1487333 1.358
0.03233333 -0.1487333 1.358
0.03492 -0.1487333 1.358
0.03764476 -0.149281 1.363
0.04024095 -0.149281 1.363
